//TagName	Language	Translation	creation date yyyymmdd	Comments
//  GS ShopBuilder, Copyright (c) 2005 by GS Software AG, Dortmund (www.gs-shopbuilder.com) - Do not remove this copyright notice!			date20020101	
// ©2003 GS ShopBuilder - Droits de traduction réservés pour tous les pays. 			date20020102	
// ©2003 GS ShopBuilder - All Rights Reserved.		All translations rights reserved.	date20020103	
// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
// ©2003 GS ShopBuilder - Med eneret.	 	 	date20020110	dk
// BITTE NUR AM ENDE EINFUEGEN !!!			date20020111	
//Estonian, Latvian, Lithuanian		windows 1257	date20020112	
//Romanian	Rom	Ro, osteuropaeische Sprachgruppe	Date20020112a	Oste
//Lithuanian	lth	lt	Date20020112a	
//Latvian	lvi	lv	Date20020112a	
//estonian 	eti	et	Date20020112a	
//croatian	hrv	Croatian	date20020113	
//serbian (latin)	srl	Serbian latin	date20020113	
//serbian (cyrillic)	srb	Serbian cyrillic	date20020113	
//hungarian	hun	Kosár megtekintése	date20020113	
//Czech	csy	Czech	date20020114	
//Slovenian	slv	Slovenian	date20020114	
//Slovak	sky	Slovak	date20020114	
//Swedish	sve	Swedish	date20020114	
//Hongkong	zhh	Traditional	date20020115	
//Macau	zhm	Traditional	date20020115	
//China	chs	Simplified	date20020115	
//Singapore	zhi	Simplified	date20020115	
//Taiwan	cht	Traditional	date20020115	
//Bahasa Indonesia	ind	Indonesia	date20020115	
//Bahasa Melayu	msb	Bruney	date20020115	
//Bahasa Malaysia	msl	Malaysia	date20020115	
//LangTagBasket	ind	Keranjang	date20020115	
//LangTagBasket	msb	Keranjang	date20020115	
//LangTagBasket	msl	Keranjang	date20020115	
//			date20020115	
//important notice !!!	eng	Lines begining with LangTagFN... MUST NOT contain blanks or special characters.Please use ONLY a-z, A_Z, 0-9 or _ (underscore).	date20020508	
//LangTagCookie	deu	Für unser Login sind Cookies erforderlich. Bitte aktivieren Sie Cookies in Ihren Browserseinstellungen	date20050869	
//LangTagCookie	eng	Please activate Cookies in your browser settings.	date20050869	
//LangTagFinancialInstitution	deu	Geldinstitut	date20030301	
//LangTagFinancialInstitution	eng	Financial Institution	date20030301	
//LangTagTextQuantity	deu	Menge	date20030301	
//LangTagTextQuantity	eng	Quantity	date20030301	
//LangTagTextSaveData	deu	Eingegebene Formulardaten speichern.<br />(Die Daten werden als Cookie abgespeichert.)	date20030301	Tabellenüberschrift buy3.htm
//LangTagTextSaveData	eng	Save the formular data.(Data are saved in a cookie)	date20030301	
//TagName	Language	Translation	creation date yyyymmdd	Comments
//wichtige Bemerkung !!!	deu	Zeilen, die mit LangTagFN... beginnen, duerfen keine Leerzeichen und keine Sonderzeichen enthalten, Nur a-z, A-Z, 0-9 und _ verwenden !!	date20030508	
DefaultAnswerTextEnd	eng	Best regards,	date20060302
DefaultAnswerTextEnd	rom	Cu deosebita stima	date20090213
DefaultAnswerTextTellAFriend	deu	Sie haben eine Artikelempfehlung erhalten.	date20060302
DefaultAnswerTextTellAFriend	eng	Please translate...	date20060302
DefaultAnswerTextTellAFriend	rom	Ati primit o recomandare de produs.	date20090213
DefaultBasket	deu	Die folgenden Artikel haben Sie für Ihre Bestellung ausgewählt. Sie können die Stückzahlen überschreiben und durch Anklicken des grünen Häkchens den Warenkorb aktualisieren, oder Sie können den Artikel aus der Liste entfernen.	date20060302
DefaultBasket	eng	Please translate...	date20060302
DefaultBasket	rom	Ati cumparat urmatoarele articole. Puteti mari sau micsora numarul de bucati comandate prin modificarea numarului aferent de bucati al fiecarui articol, urmat de un click pe simbolul verde.	date20090213
DefaultBuyText	deu	<b>Versand / Lieferung</b><br /><br />Die Lieferung erfolgt nur innerhalb Deutschlands.<br /><br />Die Lieferzeit beträgt im Regelfall 3 Werktage. Auf evtl. abweichende Lieferzeiten weisen wir auf der jeweiligen Produktseite hin..<br /><br /><hr>.<br /><br /><b>Zahlungsarten</b>.<br /><br />....	date20060302
DefaultBuyText	eng	Please translate...	date20060302
DefaultBuyText	rom	<b>Expediere / Livrare</b> <br /><br /> Livrarea se face in Romania, in decurs de 3-5 zile lucratoare.	date20090213
DefaultHelicopter	deu	Filigrane Feinstarbeit zeichnet die Bauweise des XR-2i aus und verleiht ihm ein Flugverhalten von unglaublicher Stabilität.	date20060302
DefaultHelicopter	eng	Blue helicopter	date20060302
DefaultHelicopter	rom	Blue helicopter	date20090213
DefaultLoginDataEmailText1	deu	Es freut uns Sie als Kunden in unserem Shop begrüßen zu dürfen. Mit dieser Email erhalten Sie ihre Logindaten für unseren Kundenbereich.	date20060302
DefaultLoginDataEmailText1	eng	Please translate	date20060302
DefaultLoginDataEmailText1	rom	Ne bucuram ca sunteti clientul nostru. Datele dumneavoastra de acces sunt urmatoarele.	date20090213
DefaultLoginDataEmailText2	deu	Im Kundenbereich können Sie sich Ihre Bestellungen ansehen oder Ihre Benutzerdaten einsehen und ändern. Mit freundlichen Grüssen	date20060302
DefaultLoginDataEmailText2	eng	You may view your order in the customer database or modify your contact data. <br /> Best regards, <br /> http://www.shopcity24.de	date20060302
DefaultLoginDataEmailText2	rom	Puteti sa vizualizati comanda dumneavoastra in baza de date sau puteti sa modificati datele dumneavoastra de contact. Cu deosebita stima,	date20090213
DefaultMississipi	deu	Diese handgefertigte detailgetreue Abbildung eines original Mississippi-Raddampfers sollte der Stolz jeder Papiermodelsammlung sein.	date20060302
DefaultMississipi	eng	Mississippi steamer	date20060302
DefaultMississipi	rom	Mississippi steamer	date20090213
DefaultPaynovaContractText	deu	Vielen Dank für Ihre Bezahlung mit Kreditkarte	Date20060515
DefaultPaynovaContractText	eng	Specification of the purchase. Text will be shown in payment confirmation email to customer.	Date20060515
DefaultPaynovaContractText	rom	Va multumim pentru ca ati platit cu carte de credit	date20090213
DefaultPaynovaFailedText	deu	Wir bedauern, es konnte keine Verbindung zum Server unseres Zahlungsanbieters zur Abwicklung der gesicherten Kreditkartenzahlung aufgebaut werden. Bitte wählen Sie eine alternative Zahlungsvariante aus.	Date20060601
DefaultPaynovaFailedText	eng	Credit card paiement is not available for  now. Please contact us to process your order.	Date20060601
DefaultPaynovaFailedText	rom	Plata prin carte de credit nu este posibila in acest moment. Va rugam sa ne contactati pentru a procesa comanda dumneavoastra.	date20090213
DefaultSwallow	deu	Die Silberschwalbe ist der ganze Stolz unserer Modellreihe A 2000 und imitiert täuschend echt das Flugverhalten einer richtigen Schwalbe.	date20060302
DefaultSwallow	eng	Silverswallow	date20060302
DefaultSwallow	rom	Silverswallow	date20090213
DefaultTermsAndCond	deu	<i class=red>Beispielhafte AGB mit wichtigen Kundeninformationen. Bitte passen Sie die AGB auf Ihre eigenen Bedürfnisse an.</i>	date20060302
DefaultTermsAndCond	eng	Please translate...	date20060302
DefaultTermsAndCond	rom	Traduceti...	date20090213
DefaultTermsAndCondAccept	deu	Ich habe die AGB gelesen und akzeptiert.	date20060302
DefaultTermsAndCondAccept	eng	I aggree with the terms and conditions.	date20060302
DefaultTermsAndCondAccept	rom	Sunt de acord cu termenii si conditiile de utilizare ale site-ului.	date20090213
DefaultTextAfterRequest	deu	Vielen Dank für Ihre Anfrage...	date20060302
DefaultTextAfterRequest	eng	Thank you for your request	date20060302
DefaultTextAfterRequest	rom	Va multumim pentru mesajul dumneavoastra.	date20090213
DefaultTextBeforeOrderData	deu	"Bitte überprüfen Sie Ihre Eingaben. Sie können diese durch Klicken über den entsprechenden Button korrigieren. Wenn alle Eingaben richtig sind, klicken Sie auf ""Bestellung abschicken""."	date20060302
DefaultTextBeforeOrderData	eng	Please check your data. After you have completed the order please click the button to send it...	date20060302
DefaultTextBeforeOrderData	rom	Va rugam verificati datele personale. Dupa ce ati complectat comanda dati click pe pe butonul de trimitere...	date20090213
DefaultTextOrderFormular	deu	<b>2. Bitte füllen Sie das folgende Bestellformular aus (*Felder bitte unbedingt angeben) und klicken Sie den 'Bestellung fortsetzen' Knopf. </b><br /><br /><br />Vor dem Absenden der Bestellung sehen Sie noch einmal die von Ihnen eingegebenen Daten und haben die Möglichkeit, diese durch Anklicken des entsprechenden Buttons zu korrigieren. Den Bestellvorgang können Sie jederzeit durch Schließen des Browser-Fensters abbrechen oder durch Anklicken des Buttons 'Bestellung abschicken' abschließen.	date20060302
DefaultTextOrderFormular	eng	Please translate	date20060302
DefaultTextOrderFormular	rom	Traduceti	date20090213
HelpDeeplinksBrowser	deu	Um die Deeplink-Funktionalität nutzen zu können, müssen Sie zunächst Ihren Onlineshop erzeugen. Hierzu ist auch das lokale Erzeugen des Onlineshops auf Ihrer Festplatte ausreichend. Wenn Sie nach dem letzten Erzeugen des Onlineshops weitere Änderungen an Ihrem Datenbestand vorgenommen haben, so müssen Sie diesen Vorgang wiederholen, um aktuelle Deeplink-Dateien zu generieren.	date20060606
HelpDeeplinksBrowser	eng	Please publish your shop before you use deeplinks. If you modify your items, please generate the shop once more before you use the deeplinks again.	date20060606
HelpDeeplinksBrowser	rom	Va rugam sa actualizati magazinul virtual inainte de a folosi deeplinks. Daca aduce modificari produselor, va rugam sa generati magazinul virtual din nou, inainte de folosi deeplinks.	date20090213
HelpParameter	deu	Die Daten konnten nicht angezeigt werden,<br />mögliche Ursachen hierfür sind:<br />1. Sie haben den Shop noch nicht veröffentlicht.<br />2. Die dynamischen Erweiterungen sind nicht eingeschaltet.<br />3. Die Software zum Shop im Internet hat eine falsche Versionsnummer.<br />4. Die URL zum Shop ist falsch.<br />(http://www.shopcity24.de/)<br />5. Die Datenbank zum Shop im Internet ist fehlerhaft.<br />...	date20060606
HelpParameter	eng	Database is not available,<br />possible reasons are:<br />1. Your shop is not online.<br />2. Dynamic extensions are off (settings)<br />3. Shop online and software have different versions<br />4. URL of the shop is wrong (http://www.shopcity24.de)<br />5. The database is corrupt.<br />...	date20060606
HelpParameter	rom	Baza de date nu este disponibila.<br />Cauze posibile:<br />1. Magazinul dumneavoastra nu este online.<br />2. Extensiile dinamice nu sunt activate (settings)<br />3. Magazinul online si programul nu au aceasi versiune.<br />4. Adresa de web a magazinului este gresita<br />5. Baza de date contine erori.<br />...	date20090213
L_OnlineShopSlogan	deu	Welcome to our international Online Shop!	date20031201
L_OnlineShopSlogan	eng	Welcome to our international Online Shop!	date20031201
L_OnlineShopSlogan	rom	Bine ati venit in magazinul nostru virtual	date20090213
L_OrderButton	deu	bestellen	date20031201
L_OrderButton	eng	order	date20031201
L_OrderButton	rom	Comanda GS Shopbuilder	date20090213
L_OrderDialog	deu	: Möchten Sie diesen Artikel in den Warenkorb legen ?	date20031201
L_OrderDialog	eng	: This item will be stored in the basket?	date20031201
L_OrderDialog	rom	: Doriti sa puneti acest articol in cosul de cumparaturi?	date20090213
L_Paperflier	deu	Papierflieger	date20031201
L_Paperflier	eng	Paperflier	date20031201	
L_Paperflier	rom	Avioane de hartie	date20090213	
L_PaperflierOnlineShop	deu	Paperflieger Shop	date20031201	
L_PaperflierOnlineShop	eng	Paperflier Online Shop	date20031201	
L_PaperflierOnlineShop	rom	Paperflier Online Shop	date20090213	
L_ProductGroupNewCategory	deu	Neue Warengruppe	date20031202	
L_ProductGroupNewCategory	eng	New category	date20031202	
L_ProductGroupNewCategory	rom	Categorie noua	date20090213	
L_ProductGroupRecycleBin	deu	Recycle	date20031203	//Lager : die Gelbe Tonne enthaelt die Artikel die in der gerade geloeschten Warengruppe enthalten waren
L_ProductGroupRecycleBin	eng	Recycle bin	date20031203	//Recycle bin contains the items of the deleted category
L_ProductGroupRecycleBin	rom	Cos de hartii	date20090213	
LangTag__AccountHolder	deu	Kontoinhaber	date20060119	
LangTag__AccountHolder	eng	AccountHolder	date20060119	
LangTag__AccountHolder	rom	Proprietarul contului	date20090213	
LangTag__AccountNumber	deu	Kontonummer	date20060119	
LangTag__AccountNumber	eng	AccountNumber	date20060119	
LangTag__AccountNumber	rom	Numarul contului	date20090213
LangTag__BankCodeNumber	deu	BLZ	date20060119
LangTag__BankCodeNumber	eng	BankCode	date20060119
LangTag__BankCodeNumber	rom	SWIFT	date20090213
LangTag__CreditCard	deu	Kreditinstitut	date20060119
LangTag__CreditCard	eng	CreditCardType	date20060119
LangTag__CreditCard	rom	Tipul cartii de credit	date20090213
LangTag__CreditCardHolder	deu	Kreditkarteninhaber	date20060119
LangTag__CreditCardHolder	eng	CreditCardHolder	date20060119
LangTag__CreditCardHolder	rom	Proprietarul cartii de credit	date20090213
LangTag__CreditCardNumber	deu	Kreditkartennummer	date20060119
LangTag__CreditCardNumber	eng	CreditCardNumber	date20060119
LangTag__CreditCardNumber	rom	Numarul cartii de credit	date20090213
LangTag__FieldAddress	deu	Strasse	date20060119
LangTag__FieldAddress	eng	Address	date20060119
LangTag__FieldAddress	rom	Adresa	date20090213
LangTag__FieldAddress2	deu	Adressenzusatz	date20060119
LangTag__FieldAddress2	eng	Second_Line	date20060119
LangTag__FieldAddress2	rom	Adresa (linia 2)	date20090213
LangTag__FieldBuy2Message	deu	Nachricht	date20060119
LangTag__FieldBuy2Message	eng	Message	date20060119
LangTag__FieldBuy2Message	rom	Mesaj	date20090213
LangTag__FieldCashDiscountPercent	deu	Skonto	date20060119
LangTag__FieldCashDiscountPercent	eng	Discount	date20060119
LangTag__FieldCashDiscountPercent	rom	Reducere de pret	date20090213
LangTag__FieldCity	deu	Ort	date20060119
LangTag__FieldCity	eng	Town_City	date20060119
LangTag__FieldCity	rom	Localitate	date20090213
LangTag__FieldCompany	deu	Firma	date20060119
LangTag__FieldCompany	eng	Company	date20060119
LangTag__FieldCompany	rom	Firma	date20090213
LangTag__FieldCustomerNR	deu	KundenNr	date20060119
LangTag__FieldCustomerNR	eng	CustomerNo	date20060119
LangTag__FieldCustomerNR	rom	Numarul de cont	date20090213
LangTag__FieldDelivery	deu	Versandart	date20060119
LangTag__FieldDelivery	eng	DeliveryMode	date20060119
LangTag__FieldDelivery	rom	Modalitatea de expediere	date20090213
LangTag__FieldEmail	deu	Email	date20060119
LangTag__FieldEmail	eng	Email	date20060119
LangTag__FieldEmail	rom	Email	date20090213
LangTag__FieldEmailFormat	deu	EmailFormat	date20060119
LangTag__FieldEmailFormat	eng	EmailFormat	date20060119
LangTag__FieldEmailFormat	rom	Formatul e-mail-ului	date20090213
LangTag__FieldFax	deu	Fax	date20060119
LangTag__FieldFax	eng	Fax	date20060119
LangTag__FieldFax	rom	Fax	date20090213
LangTag__FieldFirmVATId	deu	UstID	date20060119
LangTag__FieldFirmVATId	eng	TaxNumber	date20060119
LangTag__FieldFirmVATId	rom	Cod fiscal	date20090213
LangTag__FieldFirstName	deu	Vorname	date20060119
LangTag__FieldFirstName	eng	FirstName	date20060119
LangTag__FieldFirstName	rom	Prenume	date20090213
LangTag__FieldFirstNameSender	deu	AbsenderVorname	date20060119
LangTag__FieldFirstNameSender	eng	FirstNameSender	date20060119
LangTag__FieldFirstNameSender	rom	Prenumele expeditorului	date20090213
LangTag__FieldFormToAddress	deu	Anrede	date20060119
LangTag__FieldFormToAddress	eng	Title	date20060119
LangTag__FieldFormToAddress	rom	Formula de adresare	date20090213
LangTag__FieldImage	deu	Bild	date20060119
LangTag__FieldImage	eng	Image	date20060119
LangTag__FieldImage	rom	Imagine	date20090213
LangTag__FieldLastName	deu	Nachname	date20060119
LangTag__FieldLastName	eng	LastName	date20060119
LangTag__FieldLastName	rom	Prenume	date20090213
LangTag__FieldLastNameSender	deu	AbsenderNachname	date20060119
LangTag__FieldLastNameSender	eng	LastNameSender	date20060119
LangTag__FieldLastNameSender	rom	Numele expeditorului	date20090213
LangTag__FieldLocDiscount	deu	Rabatt	date20060119
LangTag__FieldLocDiscount	eng	Discount	date20060119
LangTag__FieldLocDiscount	rom	Reducere de pret	date20090213
LangTag__FieldLocTotal	deu	Summe	date20060119
LangTag__FieldLocTotal	eng	OrderTotal	date20060119
LangTag__FieldLocTotal	rom	Valoarea totala	date20090213
LangTag__FieldLongVat	deu	MwSt	date20060119
LangTag__FieldLongVat	eng	VAT	date20060119
LangTag__FieldLongVat	rom	TVA	date20090213
LangTag__FieldMessage	deu	Nachricht	date20060119
LangTag__FieldMessage	eng	Message	date20060119
LangTag__FieldMessage	rom	Mesaj	date20090213
LangTag__FieldPayment	deu	Zahlungsart	date20060119
LangTag__FieldPayment	eng	Payment	date20060119
LangTag__FieldPayment	rom	Modalitatea de plata	date20090213
LangTag__FieldPaymentCharge	deu	Gebühr	date20060119
LangTag__FieldPaymentCharge	eng	Charge	date20060119
LangTag__FieldPaymentCharge	rom	Comisioane de plata	date20090213
LangTag__FieldPhone	deu	Telefon	date20060119
LangTag__FieldPhone	eng	Phone	date20060119
LangTag__FieldPhone	rom	Telefon	date20090213
LangTag__FieldPID	deu	Auftragsnummer	date20060119
LangTag__FieldPID	eng	Ordernumber	date20060119
LangTag__FieldPID	rom	Numarul comenzii	date20090213
LangTag__FieldPostage	deu	Versandkosten	date20060119
LangTag__FieldPostage	eng	DeliveryCharges	date20060119
LangTag__FieldPostage	rom	Costuri de expediere	date20090213
LangTag__FieldQuantity	deu	Menge	date20060119
LangTag__FieldQuantity	eng	Quantity	date20060119
LangTag__FieldQuantity	rom	Cantitate	date20090213
LangTag__FieldSender	deu	Absender	date20060119
LangTag__FieldSender	eng	Sender	date20060119
LangTag__FieldSender	rom	Expeditor	date20090213
LangTag__FieldShippingAddress	deu	Abweichende_Lieferadresse	date20060119
LangTag__FieldShippingAddress	eng	DeliveryAddress	date20060119
LangTag__FieldShippingAddress	rom	Adresa alternativa de livrare	date20090213
LangTag__FieldShippingAddress2	deu	LieferAdressenZusatz	date20060119
LangTag__FieldShippingAddress2	eng	ShippingAddress2_	date20060119
LangTag__FieldShippingAddress2	rom	Adresa alternativa de livrare (linia 2)	date20090213
LangTag__FieldShippingAddressArea	deu	Versandgebiet	date20060119
LangTag__FieldShippingAddressArea	eng	ShippingTo	date20060119
LangTag__FieldShippingAddressArea	rom	Adresa de livrare	date20090213
LangTag__FieldShippingCity	deu	LieferStadt	date20060119
LangTag__FieldShippingCity	eng	DeliveryCity	date20060119
LangTag__FieldShippingCity	rom	Localitate	date20090213
LangTag__FieldShippingCompany	deu	Lieferfirma	date20060119
LangTag__FieldShippingCompany	eng	ShippingCompany	date20060119
LangTag__FieldShippingCompany	rom	Livrarea la firma	date20090213
LangTag__FieldShippingFax	deu	Lieferfax	date20060119
LangTag__FieldShippingFax	eng	ShippingFax	date20060119
LangTag__FieldShippingFax	rom	Fax	date20090213
LangTag__FieldShippingFirstName	deu	LieferVorname	date20060119
LangTag__FieldShippingFirstName	eng	DeliveryFirstName	date20060119
LangTag__FieldShippingFirstName	rom	Prenume	date20090213
LangTag__FieldShippingFormToAddress	deu	LieferAnrede	date20060119
LangTag__FieldShippingFormToAddress	eng	ShippingFormToAddress	date20060119
LangTag__FieldShippingFormToAddress	rom	Formula de adresare	date20090213
LangTag__FieldShippingLastName	deu	LieferNachname	date20060119
LangTag__FieldShippingLastName	eng	DeliveryLastName	date20060119
LangTag__FieldShippingLastName	rom	Numele	date20090213
LangTag__FieldShippingState	deu	Lieferland	date20060119
LangTag__FieldShippingState	eng	ShippingState	date20060119
LangTag__FieldShippingState	rom	Tara	date20090213
LangTag__FieldShippingStreet	deu	LieferStrasse	date20060119
LangTag__FieldShippingStreet	eng	DeliveryAddress	date20060119
LangTag__FieldShippingStreet	rom	Adresa	date20090213
LangTag__FieldShippingTelefon	deu	LieferTelefon	date20060119
LangTag__FieldShippingTelefon	eng	ShippingTelefon	date20060119
LangTag__FieldShippingTelefon	rom	Telefon	date20090213
LangTag__FieldShippingZipCode	deu	LieferPLZ	date20060119
LangTag__FieldShippingZipCode	eng	DeliveryPostcode_Zipcode	date20060119
LangTag__FieldShippingZipCode	rom	Cod postal	date20090213
LangTag__FieldShopURL	deu	Onlineshop	date20060126
LangTag__FieldShopURL	eng	Online shop	date20060126
LangTag__FieldShopURL	rom	Online shop	date20090213
LangTag__FieldShortVat	deu	MwSt	date20060119
LangTag__FieldShortVat	eng	VAT	date20060119
LangTag__FieldShortVat	rom	TVA	date20090213
LangTag__FieldState	deu	Land	date20060119
LangTag__FieldState	eng	Country_State	date20060119
LangTag__FieldState	rom	Tara	date20090213
LangTag__FieldSubTotal	deu	Zwischensumme	date20060119
LangTag__FieldSubTotal	eng	Subtotal	date20060119
LangTag__FieldSubTotal	rom	Subtotal	date20090213
LangTag__FieldTextItem	deu	Artikel	date20060119
LangTag__FieldTextItem	eng	Items	date20060119
LangTag__FieldTextItem	rom	Articole	date20090213
LangTag__FieldTextUnitPrice	deu	Einzelpreis	date20060119
LangTag__FieldTextUnitPrice	eng	UnitPrice	date20060119
