//Key	Language	Translation	creation date yyyymmdd
L_CatalogueFormControlBar2ToolBar7ToolBar1Caption	spa	ToolBar1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1editSuchenHint	deu	Volltextsuche in der Katalogdatenbank	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1editSuchenHint	eng	Text search in catalog database	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1editSuchenHint	trk	Katalog veri tabanýnda tüm metin arama	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1editSuchenHint	spa	Búsqueda de texto en banco de datos de catálogo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Caption	deu	ToolButton10	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Caption	eng	ToolButton10	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Caption	trk	ToolButton10	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Caption	spa	ToolButton10	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Hint	deu	Neuen Artikel am Ende einfügen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Hint	eng	Add new item at the end	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Hint	trk	Yeni ürünü sona ekle	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Hint	spa	Insertar nuevo artículo al final	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Caption	deu	ToolButton11	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Caption	eng	ToolButton11	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Caption	trk	ToolButton11	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Caption	spa	ToolButton11	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Hint	deu	Artikel nach oben verschieben	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Hint	eng	Move item up	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Hint	trk	Ürünü yukarý kaydýr	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Hint	spa	Desplazar artículo arriba	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Caption	deu	ToolButton12	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Caption	eng	ToolButton12	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Caption	trk	ToolButton12	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Caption	spa	ToolButton12	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Hint	deu	Artikel nach unten verschieben	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Hint	eng	Move item down	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Hint	trk	Ürünü aþaðý kaydýr	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Hint	spa	Desplazar artículo abajo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton13Caption	deu	ToolButton13	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton13Caption	eng	ToolButton13	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton13Caption	trk	ToolButton13	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton13Caption	spa	ToolButton13	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Caption	deu	ToolButton14	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Caption	eng	ToolButton14	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Caption	trk	ToolButton14	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Caption	spa	ToolButton14	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Hint	deu	Artikel suchen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Hint	eng	Find item	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Hint	trk	Ürün arama	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Hint	spa	Buscar artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Caption	deu	ToolButton15	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Caption	eng	ToolButton15	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Caption	trk	ToolButton15	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Caption	spa	ToolButton15	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Hint	deu	Artikel aus Zwischenablage einfügen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Hint	eng	Insert item 	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Hint	trk	Ürün ekle	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Hint	spa	Insertar artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Caption	deu	ToolButton16	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Caption	eng	ToolButton16	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Caption	trk	ToolButton16	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Caption	spa	ToolButton16	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Hint	deu	Artikel in Zwischenablage kopieren	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Hint	eng	Copy item	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Hint	trk	Ürün kaydet	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Hint	spa	Copiar artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton17Caption	deu	ToolButton17	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton17Caption	eng	ToolButton17	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton17Caption	trk	ToolButton17	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton17Caption	spa	ToolButton17	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Caption	deu	ToolButton18	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Caption	eng	ToolButton18	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Caption	trk	ToolButton18	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Caption	spa	ToolButton18	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Hint	deu	Artikel ausschneiden	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Hint	eng	Cut item	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Hint	trk	Ürün kes	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Hint	spa	Cortar artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton19Caption	deu	ToolButton19	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton19Caption	eng	ToolButton19	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton19Caption	trk	ToolButton19	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton19Caption	spa	ToolButton19	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Caption	deu	ToolButton1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Caption	eng	ToolButton1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Caption	trk	ToolButton1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Caption	spa	ToolButton1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Hint	deu	Erster Artikel	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Hint	eng	First item	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Hint	trk	Ýlk ürün	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Hint	spa	Primer artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Caption	deu	ToolButton20	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Caption	eng	ToolButton20	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Caption	trk	ToolButton20	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Caption	spa	ToolButton20	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Hint	deu	Onlineshop erzeugen und anzeigen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Hint	eng	Create and show online shop	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Hint	trk	Onlineshop oluþtur ve göster	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Hint	spa	Producir y mostrar online shop	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Caption	deu	ToolButton21	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Caption	eng	ToolButton21	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Caption	trk	ToolButton21	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Caption	spa	ToolButton21	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Hint	deu	Onlineshop veröffentlichen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Hint	eng	Publish online shop	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Hint	trk	Onlineshop veröffentlichen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Hint	spa	Publicar online shop	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Caption	deu	ToolButton2	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Caption	eng	ToolButton2	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Caption	trk	ToolButton2	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Caption	spa	ToolButton2	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Hint	deu	Vorheriger Artikel	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Hint	eng	Previous item	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Hint	trk	Önceki Ürün	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Hint	spa	Previo artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Caption	deu	ToolButton3	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Caption	eng	ToolButton3	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Caption	trk	ToolButton3	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Caption	spa	ToolButton3	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Hint	deu	Nächster Artikel	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Hint	eng	Next item	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Hint	trk	Sonraki Ürün	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Hint	spa	Artículo siguiente	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Caption	deu	ToolButton4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Caption	eng	ToolButton4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Caption	trk	ToolButton4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Caption	spa	ToolButton4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Hint	deu	Letzter Artikel	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Hint	eng	Last item	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Hint	trk	En son ürün	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Hint	spa	Último artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton5Caption	deu	ToolButton5	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton5Caption	eng	ToolButton5	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton5Caption	trk	ToolButton5	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton5Caption	spa	ToolButton5	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Caption	deu	ToolButton6	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Caption	eng	ToolButton6	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Caption	trk	ToolButton6	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Caption	spa	ToolButton6	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Hint	deu	Änderungen speichern	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Hint	eng	Save changes	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Hint	trk	Deðiþikliði kaydet	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Hint	spa	Guardar modificación	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Caption	deu	ToolButton7	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Caption	eng	ToolButton7	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Caption	trk	ToolButton7	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Caption	spa	ToolButton7	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Hint	deu	Artikel löschen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Hint	eng	Delete item	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Hint	trk	Ürünü sil	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Hint	spa	Eliminar artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton8Caption	deu	ToolButton8	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton8Caption	eng	ToolButton8	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton8Caption	trk	ToolButton8	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton8Caption	spa	ToolButton8	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Caption	deu	ToolButton9	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Caption	eng	ToolButton9	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Caption	trk	ToolButton9	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Caption	spa	ToolButton9	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Hint	deu	Neuen Artikel hier einfügen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Hint	eng	Insert new item here	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Hint	trk	Yeni ürünü buraya ekle	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Hint	spa	Insertar nuevo artículo aquí	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4Caption	deu	ToolBar4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4Caption	eng	ToolBar4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4Caption	plk	ToolBar4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4Caption	trk	ToolBar4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupCaption	deu	ToolButtonDataBackup	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupCaption	eng	ToolButtonDataBackup	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupCaption	trk	ToolButtonDataBackup	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupCaption	spa	ToolButtonDataBackup	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupHint	deu	Katalogdatensicherung	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupHint	eng	Catalog data storage	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupHint	trk	katalog verilerini saklama	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupHint	spa	Segurar datos de catálogo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVCaption	deu	ToolButtonExportCSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVCaption	eng	ToolButtonExportCSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVCaption	trk	ToolButtonExportCSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVCaption	spa	ToolButtonExportCSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVHint	deu	Katalogdaten als CSV-Datei exportieren	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVHint	eng	Export catalog data as CSV files	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVHint	plk	Katalogdaten als CSV-Datei exportieren	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVHint	spa	Exportar datos de catálogo como archivo CSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTCaption	deu	ToolButtonExportTXT	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTCaption	eng	ToolButtonExportTXT	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTCaption	trk	ToolButtonExportTXT	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTCaption	spa	ToolButtonExportTXT	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTHint	deu	Katalogdaten als TXT-Datei exportieren	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTHint	eng	Export data as TXT files	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTHint	plk	Katalogdaten als TXT-Datei exportieren	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTHint	spa	Exportar datos de catálogo como archivo de texto	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton24Caption	deu	ToolButton24	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton24Caption	eng	ToolButton24	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton24Caption	trk	ToolButton24	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton24Caption	spa	ToolButton24	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton25Caption	deu	ToolButton25	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton25Caption	eng	ToolButton25	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton25Caption	trk	ToolButton25	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton25Caption	spa	ToolButton25	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton27Caption	deu	ToolButton27	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton27Caption	eng	ToolButton27	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton27Caption	trk	ToolButton27	date20030218
