//Key	Language	Translation	creation date yyyymmdd
//  GS ShopBuilder, Copyright (c) 2004 by GS Software AG, Dortmund (www.gs-shopbuilder.com) - Do not remove this copyright notice!		GS ShopBuilder version 3.0.0.3	data20020101
// ©2003 GS ShopBuilder - Droits de traduction réservés pour tous les pays. 			date20020101
// ©2003 GS ShopBuilder - All Rights Reserved.		All translations rights reserved.	date20020101
// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020101
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020101
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020101
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020101	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020101
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020101
// ©2003 GS ShopBuilder - Med eneret.	 	 	date20020101	dk
L_CatalogueFormBrowseDirectoryDlgExportAsTextCaption	esp	Directorio de archivos de texto	date20030218
L_CatalogueFormBrowseDirectoryDlgExportDataAsZipCaption	deu	Datensicherungsverzeichnis	date20030218
L_CatalogueFormBrowseDirectoryDlgExportDataAsZipCaption	esp	Directorio de copia de seguridad	date20030218
L_CatalogueFormCaption	deu	GS ShopBuilder Standard	date20030218
L_CatalogueFormCaption	esp	GS ShopBuilder Standard	date20030218
L_CatalogueFormControlBar2ToolBar2Caption	deu	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2Caption	esp	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3Caption	deu	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3Caption	esp	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Caption	deu	ToolButton22	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Caption	esp	ToolButton22	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Hint	deu	Warengruppe nach oben verschieben	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Hint	esp	Mover mercancías grupo	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Caption	deu	ToolButton23	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Caption	esp	ToolButton23	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Hint	deu	Warengruppe nach unten verschieben	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Hint	esp	Bajar grupo	date20030218
L_CatalogueFormControlBar2ToolBar7editBreakAfterPageHint	deu	Artikelbegrenzung	date20030218
L_CatalogueFormControlBar2ToolBar7editBreakAfterPageHint	esp	Límite de artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1Caption	deu	ToolBar1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1Caption	esp	ToolBar1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1editSuchenHint	deu	Volltextsuche in der Katalogdatenbank	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1editSuchenHint	esp	Búsqueda de texto completo en la base de datos del Catálogo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Caption	deu	ToolButton10	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Caption	esp	ToolButton10	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Hint	deu	Neuen Artikel am Ende einfügen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton10Hint	esp	Inserte el nuevo artículo al final de	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Caption	deu	ToolButton11	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Caption	esp	ToolButton11	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Hint	deu	Artikel nach oben verschieben	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton11Hint	esp	Artículo de movimiento	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Caption	deu	ToolButton12	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Caption	esp	ToolButton12	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Hint	deu	Artikel nach unten verschieben	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton12Hint	esp	Bajar artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton13Caption	deu	ToolButton13	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton13Caption	esp	ToolButton13	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Caption	deu	ToolButton14	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Caption	esp	ToolButton14	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Hint	deu	Artikel suchen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton14Hint	esp	Búsqueda de artículos	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Caption	deu	ToolButton15	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Caption	esp	ToolButton15	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Hint	deu	Artikel aus Zwischenablage einfügen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton15Hint	esp	Pega objetos del portapapeles	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Caption	deu	ToolButton16	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Caption	esp	ToolButton16	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Hint	deu	Artikel in Zwischenablage kopieren	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton16Hint	esp	Copiar elementos en el portapapeles	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton17Caption	deu	ToolButton17	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton17Caption	esp	ToolButton17	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Caption	deu	ToolButton18	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Caption	esp	ToolButton18	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Hint	deu	Artikel ausschneiden	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton18Hint	esp	Artículo corte	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton19Caption	deu	ToolButton19	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton19Caption	esp	ToolButton19	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Caption	deu	ToolButton1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Caption	esp	ToolButton1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Hint	deu	Erster Artikel	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton1Hint	esp	Primer artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Caption	deu	ToolButton20	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Caption	esp	ToolButton20	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Hint	deu	Onlineshop erzeugen und anzeigen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton20Hint	esp	Tienda online de generar y Mostrar	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Caption	deu	ToolButton21	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Caption	esp	ToolButton21	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Hint	deu	Onlineshop veröffentlichen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton21Hint	esp	Publicar una tienda en línea	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Caption	deu	ToolButton2	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Caption	esp	ToolButton2	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Hint	deu	Vorheriger Artikel	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton2Hint	esp	Artículo anterior	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Caption	deu	ToolButton3	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Caption	esp	ToolButton3	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Hint	deu	Nächster Artikel	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton3Hint	esp	Siguiente artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Caption	deu	ToolButton4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Caption	esp	ToolButton4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Hint	deu	Letzter Artikel	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton4Hint	esp	Último artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton5Caption	deu	ToolButton5	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton5Caption	esp	ToolButton5	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Caption	deu	ToolButton6	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Caption	esp	ToolButton6	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Hint	deu	Änderungen speichern	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton6Hint	esp	Guardar cambios	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Caption	deu	ToolButton7	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Caption	esp	ToolButton7	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Hint	deu	Artikel löschen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton7Hint	esp	Eliminar artículo	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton8Caption	deu	ToolButton8	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton8Caption	esp	ToolButton8	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Caption	deu	ToolButton9	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Caption	esp	ToolButton9	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Hint	deu	Neuen Artikel hier einfügen	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1ToolButton9Hint	esp	Inserte el nuevo artículo aquí	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4Caption	deu	ToolBar4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4Caption	esp	ToolBar4	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupCaption	deu	ToolButtonDataBackup	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupCaption	esp	ToolButtonDataBackup	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupHint	deu	Katalogdatensicherung	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonDataBackupHint	esp	Catálogo de copia de seguridad	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVCaption	deu	ToolButtonExportCSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVCaption	esp	ToolButtonExportCSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVHint	deu	Katalogdaten als CSV-Datei exportieren	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportCSVHint	esp	Exportar datos de catálogo como un archivo CSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTCaption	deu	ToolButtonExportTXT	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTCaption	esp	ToolButtonExportTXT	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTHint	deu	Katalogdaten als TXT-Datei exportieren	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar4ToolButtonExportTXTHint	esp	Exportar datos de catálogo como un archivo TXT	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton24Caption	deu	ToolButton24	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton24Caption	esp	ToolButton24	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton25Caption	deu	ToolButton25	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton25Caption	esp	ToolButton25	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton27Caption	deu	ToolButton27	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton27Caption	esp	ToolButton27	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton27Hint	deu	Textdatei-Export	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton27Hint	esp	Exportación de archivos de texto	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton28Caption	deu	ToolButton28	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton28Caption	esp	ToolButton28	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton28Hint	deu	Csv-Datei-Export	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButton28Hint	esp	Exportación de archivos CSV	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButtonSaveBreakAfterPageCaption	deu	ToolButtonSaveBreakAfterPage	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButtonSaveBreakAfterPageCaption	esp	ToolButtonSaveBreakAfterPage	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButtonSaveBreakAfterPageHint	deu	Einstellung speichern	date20030218
L_CatalogueFormControlBar2ToolBar7ToolButtonSaveBreakAfterPageHint	esp	Guardar configuración	date20030218
L_CatalogueFormDragDropPopupMenuAbbrechen1Caption	deu	Abbrechen	date20030218
L_CatalogueFormDragDropPopupMenuAbbrechen1Caption	esp	Cancelar	date20030218
L_CatalogueFormDragDropPopupMenuD1Caption	deu	Datensatz hierher kopieren	date20030218
L_CatalogueFormDragDropPopupMenuD1Caption	esp	Aquí copiar disco	date20030218
L_CatalogueFormDragDropPopupMenuDatensatzhierherverschieben1Caption	deu	Datensatz hierher verschieben	date20030218
L_CatalogueFormDragDropPopupMenuDatensatzhierherverschieben1Caption	esp	Aquí para mover el disco	date20030218
L_CatalogueFormDragDropPopupMenuN6Caption	deu	-	date20030218
L_CatalogueFormDragDropPopupMenuN6Caption	esp	-	date20030218
L_CatalogueFormDragDropPopupMenuVerknpfunghiererstellen1Caption	deu	Verknüpfung hier erstellen	date20030218
L_CatalogueFormDragDropPopupMenuVerknpfunghiererstellen1Caption	esp	Crear acceso directo aquí	date20030218
L_CatalogueFormImagePopupMenuBildeinfgen2Caption	deu	Bild einfügen...	date20030218
L_CatalogueFormImagePopupMenuBildeinfgen2Caption	esp	Insertar imagen...	date20030218
L_CatalogueFormImagePopupMenuBildentfernen2Caption	deu	Bild entfernen	date20030218
L_CatalogueFormImagePopupMenuBildentfernen2Caption	esp	Quitar imagen	date20030218
L_CatalogueFormImagePopupMenuLinkentfernen1Caption	deu	Link entfernen	date20030218
L_CatalogueFormImagePopupMenuLinkentfernen1Caption	esp	Quitar vínculo	date20030218
L_CatalogueFormImagePopupMenuLinkzumBildeinfgen1Caption	deu	Link zum Bild einfügen...	date20030218
L_CatalogueFormImagePopupMenuLinkzumBildeinfgen1Caption	esp	Introduzca el enlace a la imagen...	date20030218
L_CatalogueFormImagePopupMenuN9Caption	deu	-	date20030218
L_CatalogueFormImagePopupMenuN9Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Ansicht1bersicht1Caption	deu	Katalog Artikel&liste	date20030218
L_CatalogueFormMainMenu1Ansicht1bersicht1Caption	esp	&Lista de productos Catálogo	date20030218
L_CatalogueFormMainMenu1Ansicht1Caption	deu	&Ansicht	date20030218
L_CatalogueFormMainMenu1Ansicht1Caption	esp	&Vista	date20030218
L_CatalogueFormMainMenu1Ansicht1ContentPool1Caption	deu	Content &Pool	date20030218
L_CatalogueFormMainMenu1Ansicht1ContentPool1Caption	esp	Contenido &piscina	date20030218
L_CatalogueFormMainMenu1Ansicht1Contentzuordnen1Caption	deu	&Content zuordnen	date20030218
L_CatalogueFormMainMenu1Ansicht1Contentzuordnen1Caption	esp	&Asignar contenido	date20030218
L_CatalogueFormMainMenu1Ansicht1Details1Caption	deu	Katalog &Warengruppen	date20030218
L_CatalogueFormMainMenu1Ansicht1Details1Caption	esp	grupos de &productos Catálogo	date20030218
L_CatalogueFormMainMenu1Ansicht1N21Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Ansicht1N21Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Ansicht1N24Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Ansicht1N24Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Ansicht1N26Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Ansicht1N26Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Ansicht1NumberOfVisibleRecordsCaption	deu	Artikelbegrenzung...	date20030218
L_CatalogueFormMainMenu1Ansicht1NumberOfVisibleRecordsCaption	esp	Limitación del artículo...	date20030218
L_CatalogueFormMainMenu1Ansicht1Standard1Caption	deu	Katalog &Standardansicht	date20030218
L_CatalogueFormMainMenu1Ansicht1Standard1Caption	esp	vista e&stándar de catálogo	date20030218
L_CatalogueFormMainMenu1Ansicht1Zusammenfassunganzeige1Caption	deu	Zusammenfassung anzeigen...	date20030218
L_CatalogueFormMainMenu1Ansicht1Zusammenfassunganzeige1Caption	esp	M&ostrar Resumen...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Artikelnachobenverschieben1Caption	deu	Artikel nach oben verschieben	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Artikelnachobenverschieben1Caption	esp	Artículo s&ubir	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Artikelnachuntenverschieben1Caption	deu	Artikel nach unten verschieben	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Artikelnachuntenverschieben1Caption	esp	Elemento de &desplazamiento hacia abajo	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Attributlistenbearbeiten1Caption	deu	A&ttributlisten bearbeiten...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Attributlistenbearbeiten1Caption	esp	Editar &lista de atributos...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Caption	deu	&Bearbeiten	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Caption	esp	&Editar	date20030218
L_CatalogueFormMainMenu1Bearbeiten1DatensatzamEndeanfgen1Caption	deu	&Neuen Artikel am Ende anfügen	date20030218
L_CatalogueFormMainMenu1Bearbeiten1DatensatzamEndeanfgen1Caption	esp	&Añadir artículo al final	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzausschneiden1Caption	deu	Artikel &ausschneiden	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzausschneiden1Caption	esp	Elemento de cor&te	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzeinfgen1Caption	deu	Artikel &einfügen	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzeinfgen1Caption	esp	&Insertar elemento	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzhieranfgen1Caption	deu	Neuen Artikel &hier einfügen	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzhieranfgen1Caption	esp	&Inserte el nuevo elemento aquí	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzkopieren1Caption	deu	Artikel &kopieren	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzkopieren1Caption	esp	&Copia del artículo	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzlschen1Caption	deu	Artikel &löschen	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Datensatzlschen1Caption	esp	Eli&minar elemento	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1AlleDatenstzeindieserWarengruppemarkieren1Caption	deu	Alle Artikel in dieser Warengruppe &markieren	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1AlleDatenstzeindieserWarengruppemarkieren1Caption	esp	&Marcar todos los artículos en la categoría	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Ausschneiden1Caption	deu	&Ausschneiden	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Ausschneiden1Caption	esp	Cor&te	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Caption	deu	&Markierte Artikel	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Caption	esp	Elementos ma&rcados	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Einfgen1Caption	deu	&Einfügen	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Einfgen1Caption	esp	&Insertar	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Kopieren1Caption	deu	&Kopieren	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Kopieren1Caption	esp	&Copia	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Lschen1Caption	deu	Alle Markierungen &löschen	date20030218
L_CatalogueFormMainMenu1Bearbeiten1MarkierteDatenstze1Lschen1Caption	esp	Quita&r todas las marcas	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N13Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N13Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N14Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N14Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N1Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N1Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N20Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N20Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N23Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N23Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N3Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N3Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N5Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1N5Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Suchen1Caption	deu	Artikel &suchen...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Suchen1Caption	esp	&Buscar elemento...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1Bildverzeichnisseberprfenundaufrumen1Caption	deu	Bildverzeichnisse überprüfen und aufräumen...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1Bildverzeichnisseberprfenundaufrumen1Caption	esp	Revisar y limpiar los directorios &imagen...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1Caption	deu	Systemdienste	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1Caption	esp	&Servicios del sistema	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1Datenbankpflegen1Caption	deu	Datenbank prüfen und reindizieren...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1Datenbankpflegen1Caption	esp	&Compruebe y reindexar base de datos...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1FTPProtokolldateizurcksetzen1Caption	deu	FTP-Versionskontrolle zurücksetzen...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1FTPProtokolldateizurcksetzen1Caption	esp	Restablecer el control de versiones de &FTP...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1N25Caption	deu	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1N25Caption	esp	-	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1Shopvollstndigleeren1Caption	deu	Shop vollständig leeren...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1Systemdienste1Shopvollstndigleeren1Caption	esp	&Borrar todos los elementos de base de datos de tienda...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1WarengruppeneineStilvorlagezuordnen1Caption	deu	Individuelle Stilvorlage pro Warengruppe...	date20030218
L_CatalogueFormMainMenu1Bearbeiten1WarengruppeneineStilvorlagezuordnen1Caption	esp	Cada plantilla de categoría...	date20030218
